"avg_price","area","avg_price_neibr","num_house_neibr","num_adjustment","num_following","num_browsed","management_fee","year_sold","dist_hospital","dist_supermarket","dist_mall","dist_park","dist_subway","dist_bus","dist_2nd_school","dist_1st_school","num_supermarket","num_shopping_mall","num_park","num_subway","num_bus","num_2nd_school","num_1st_school","num_bedroom","num_livingroom","num_kitchen","num_bathroom","which_floor","type_of_building.Slab","type_of_building.Slab.Tower","year_built","type_of_foundation.Brick","type_of_foundation.Steel","has_lift.No","has_lift.Yes","in_which_ring.0","in_which_ring.1","in_which_ring.2","in_which_ring.3","type_which_floor.High","type_which_floor.Low","type_which_floor.Medium"
44330,97,40329,"40",0,0,62,0.85,2017,2.12522407630938,0.181361422976599,1.36467308770952,0.640033555128879,1.07212411034759,0.187842092947774,0.666425456396708,0.512730893071124,3,1,6,2,25,3,2,"2","2","1","2","6",1,0,35,0,1,1,0,0,0,1,0,0,1,0
44350,147.69,47842.2363886246,"38",0,0,73,0.8,2017,2.1238074052662,1.20066196070032,1.3329305067386,0.464662039626418,2.42538962319591,0.120421416424731,0.940476101732054,0.500891446140142,3,1,1,0,39,7,4,"3","2","1","2","1",1,0,33,0,1,0,1,1,0,0,0,0,0,1
59241,102.97,60696,"39",0,10,85,1.3,2017,1.35822793584174,0.298614784373845,0.187113588275427,0.881289468361928,0.582717198427209,0.254421444038915,0.414903706003322,0.819521608394854,5,7,2,3,48,10,7,"2","2","1","1","1",1,0,34,0,1,0,1,1,0,0,0,0,1,0
58653,96.33,47842.2363886246,"65",0,0,59,0.7,2017,1.09404155208529,0.323173785755181,0.326405018027069,0.661894399858644,0.530559901899689,0.131011338565539,0.428286946428305,0.56187811126953,4,7,2,2,50,10,8,"2","2","1","1","6",1,0,32,0,1,1,0,1,0,0,0,0,1,0
50582,111.7,47842.2363886246,"113",0,2,122,0.8,2017,1.20160802997706,0.4282897109366,0.506892967818198,1.25882934145114,1.46885357596588,0.141022486323862,0.166993015017451,0.52630702669524,4,7,4,1,60,11,10,"3","2","1","1","6",1,0,26,1,0,1,0,1,0,0,0,0,0,1
53125,100.33,52744,"100",0,0,63,0.7,2017,1.93812772480972,0.977277862667878,1.06718666064261,0.680777569343308,2.16266103954283,0.163171966594101,0.894164571972185,0.242915490313653,3,3,2,0,45,8,5,"2","2","1","1","6",1,0,37,0,1,1,0,1,0,0,0,0,1,0
45032,111.7,47842.2363886246,"82",0,0,70,1.12375874642752,2017,1.47972764980355,0.588840589019777,0.681455464689994,1.15672771366663,1.73479799758905,0.0953700124921486,0.469951168663992,0.246236159052051,3,4,3,0,55,9,8,"3","2","1","1","6",1,0,29,1,0,1,0,1,0,0,0,1,0,0
40418,154.76,47842.2363886246,"22",0,0,58,0.5,2017,2.07441757727492,1.12026620168498,1.41760344828545,0.369523433227648,2.2533810158686,0.0410118413351185,0.966987649915946,0.701555012680544,2,1,2,0,35,5,5,"4","2","1","2","5",1,0,30,0,1,1,0,1,0,0,0,0,0,1
56942,96.59,47842.2363886246,"65",0,0,65,0.7,2017,1.09404155208529,0.323173785755181,0.326405018027069,0.661894399858644,0.530559901899689,0.131011338565539,0.428286946428305,0.56187811126953,4,7,2,2,50,10,8,"2","2","1","1","6",1,0,32,0,1,1,0,1,0,0,0,1,0,0
51426,106.95,47842.2363886246,"39",0,0,63,1.1,2017,0.732298185253696,0.857163116535302,1.43243821194562,0.296948004856843,1.93727786274577,0.0161063785254045,0.511472888602908,0.291886199646028,1,2,2,0,33,6,8,"2","1","1","1","1",1,0,34,0,1,0,1,1,0,0,0,0,0,1
